Text,Label
Explain optical dot gain and factors responsible for the same.,Remembering
Find Euler Totient Function of the following numbers.,Applying
Explain the properties of instantaneous centre of rotation.,Analysing
"State and explain the sampling theorem in detail when fs > 2fm, fs = 2fm, fs = 2fm.",Remembering
What is modeling of DC motor?,Remembering
The length of various links of mechanism as shown in fig.,Applying
With the help of a neat diagram explain the operation of an adjustable voltage regulator using IC LM 317.,Applying
Explain in brief the effect of wet adhesives on paper and board.,Remembering
Derive expression for Pitot tube and explain the working principle.,Remembering
Draw block diagram of NVIDIA workstation and explain it in brief.,Applying
Weights of 4000 students are found to be normally distributed with mean 50 kg and standard deviation 5 kgs.,Applying
What is semaphore?,Remembering
Define the following terms.,Applying
Which are the manufacturing techniques used for processing of rubbers?,Remembering
Obtain regression lines for the following data.,Analysing
What is mean by creeping in an energy meter and how is it prevented?,Remembering
What do you mean by calandering of elastomers?,Remembering
Find the Laplace Transform of following using the properties.,Applying
Explain the concept of Tristate logic.,Remembering
How to calculate simple and compound interest?,Remembering
Attempt any one:,Applying
Explain 3 position relative pole method for synthesis of four bar chain mechanism.,Remembering
Describe working of monostable multivibrator with necessary diagrams and derivations.,Understanding
"A string stretched and fastened between two points L a part. Motion is started by displacing the string in the form y = a sin Lx from which it is released at time t = 0. Find the displacement ,.yxt",Applying
Enlist the transducers used for low pressure measurement Elaborate each transducer enlisted with neat sketch.,Remembering
What are the programming paradigms?,Remembering
Explain RTD with its principle of working. Explain three wire lead arrangement of RTD.,Remembering
List and explain various features of virtual 8086 Mode.,Remembering
What are the functions of arches and lintels?,Understanding
Explain Concept of File?,Understanding
Draw and explain frequency response of low pass filter.,Remembering
What is Haptics Rendering Pipeline Modeling in Virtual Reality.,Remembering
The forward path transfer function of a unity feedback control system is.,Applying
Explain the principal of rebound hammer with neat sketch.,Understanding
Explain in brief mechanisms of pyrolysis and cracking.,Analysing
Write short note on tool steel?,Remembering
Write short note on classifications and different types of antifriction bearings.,Remembering
Explain any two types of resistive transducers.,Understanding
What are the limitations of nanomaterials?,Remembering
Describe head type flow measurement transducers.,Remembering
Discuss diamond problem in detail?,Analysing
Explain voltage Divider using multiplier 534.,Remembering
List and elaborate on different applications of microcontrollers.,Remembering
Explain three way handshake algorithm for TCP connection establishment.,Analysing
Draw and explain magnetization curve for a ferromagnetic material and hence define with uints,Remembering
One percent of articles from a certain machine are defective.,Applying
Enlist any four types of floor finishes and explain mosaic flooring.,Applying
Define formative number of teeth for Helical gear and express the formula with terms.,Remembering
A kite has plan area of 0.,Applying
Draw & explain the working principle of resistive type humidity sensor measurement technique. Compare with capacitive type of humiditymeasurement technique.,Remembering
Explain the concept of iterators in the STL.,Analysing
Enlist and draw different types of polygon?,Remembering
Define register.,Remembering
Evaluate F.,Analysing
Explain with sketch squeeze casting process.,Analysing
Write a note on SRAM.,Remembering
Explain cavitation and NPSH in pump.,Remembering
What do you mean by Industrial Automation? What are its types? Explain the architecture of an automation.,Remembering
Explain electronic energy meter with a neat diagram.,Remembering
Describe with the help of neat sketches of wave forms methods of generation of PWM.,Understanding
Compare with a neat sketch pressure forming process over vacuum forming process.,Analysing
If 1ˆ ˆˆ F yzi z x j x yk   and   222 2ˆ ˆˆ F x yz i y zx j z xy k   then show that 12FF is solenoidal.,Analysing
What are the characteristics of Destructor?,Remembering
Explain namespace in C++ with example?,Remembering
What is modulus of counter?,Remembering
A cylindrical compressed air drum is 2 m in diameter with plates 12.,Applying
Explain in detail file systems and its implementation.,Remembering
Explain the following for hydraulic turbine.,Remembering
Explain the Concept of Acceleration Image Principal.,Remembering
Compare SMTP and HTTP.,Analysing
Write  a short note on.,Understanding
Explain the application of OPAMP as square wave generator.,Understanding
Why starter is required in a DC motor?,Understanding
Two straight road intersects at a chainage of 2550.,Applying
State types of thermosetting resins.,Remembering
Explain with diagram the working of D type Flip-flop. Give its truth table.,Remembering
The expected number of matches those will be won by India in a series of five one day matches between India and England is three.,Remembering
Explain construction and working of Francis Turbine with application.,Remembering
Explain Euler’s method for the solution of ordinary differential equation.,Remembering
List the steps involved in programming PIC microcontroller in capture mode.,Remembering
What is meant by controlled access?,Remembering
Explain in brief what is folding.,Remembering
What is ARTESIAN condition?,Remembering
Explain any 3 addressing modes with example.,Remembering
Why surge tanks are used in hydro power plant?,Remembering
Solve any two of the following.,Applying
Derive the relation for the power in wind and describe the Environmental Impacts of Wind Turbines.,Analysing
What is fouling?,Remembering
Explain Splay tree with an example.,Remembering
Write a short note on bearing materials.,Remembering
Draw and explain working of TRIAC.,Remembering
Express hybrid parameters in terms of transmission line parameters.,Analysing
What are the parameters considered for writing a good defect report?,Remembering
Discuss the various scenarios of deleting a node from binary search tree.,Remembering
.,Remembering
Design a practical Integrator with input Signal of 1.,Applying
When do deadlock happens?,Remembering
Find Y parameters or the Network Shown.,Applying
Write a short note on Ferranti effect.,Understanding
What is meant by power screw?,Remembering
Derive torque equation of DC motor?,Analysing
What are the types of projection and write in brief about each type of projections.,Remembering
Discuss effect of alloying elements on steel?,Remembering
Show that for a steady laminar flow through a circular pipe mean velocity of flow occurs at radial distance of 0.,Analysing
Explain the function of LM 317 as adjustable voltage regulator.,Remembering
What is reverberation time and how is it calculated?,Understanding
Explain compression moulding process of composite manufacturing.,Remembering
Derive an expression for inductance of three phase transmission line with symmetrical spacing.,Applying
Write a short note on - C60.,Remembering
State the rules followed while applying block diagram reduction technique.,Remembering
The principal tensile stresses at a point on two perpendicular planes are 120 MPa and 50 MPa.,Applying
Draw and explain low dropout regulator?,Analysing
Find the condition for symmetry and reciprocity of Z parameter.,Analysing
Derive the expression Maximum Efficiency of a Square Threaded Screw.,Analysing
Derive an expression for continuity equation in 3 dimensions.,Analysing
In a wide rectangular channel of 100 m wide and 3 m deep has an average bed slope of 0.,Applying
Define the characteristics of op-amp,Remembering
Define  the following terms.,Understanding
Explain RS232 standard with suitable diagram.,Remembering
Write following C functions in SLL:,Applying
Draw and explain the working of a digital multimeter.,Analysing
"Among 64 off springs of a certain cross between European horses 34 were red, 10 were black and 20 were white. According to a genetic model these numbers should be in the ratio 9:3:4. Is the data consistentwith the model at 5% level of significance? Take  2 2;0.05 5.991",Applying
A certain random variable has the CDF given by.,Applying
What is instruction-level parallelism? What is the difference between superscalar and pipelined?,Remembering
What do you understand by substructure.,Remembering
Write short note on carburizing and list its applications?,Remembering
Explain building meterial used for green building.,Remembering
Describe the operation of voltage controlled oscillator with neat block diagram.,Analysing
Describe the construction of foil type strain gauges and explain their advantages over wire wound strain gauge.,Analysing
Explain the various modes of heat transfer with suitable real life examples.,Remembering
Determine whether the graphas G and H displayed in Figure are isomorphic or not?,Analysing
Draw SFD and BMD for the beam loaded and supported as shown in Fig.,Applying
Aluminum is a preferred plate making material.,Remembering
Differentiate between ROM and RAM?,Remembering
What are the causes of an earthquakes.,Remembering
Discuss the steps in executing interrupts in PIC18 microcontroller.,Analysing
A body of weight 9.,Applying
What is the effects of faulting and their significance in civil engineering.,Remembering
Describe in brief the various preventive measures against landslides.,Remembering
Draw neat diagram of I -V converter and derive the equation for output voltage.,Remembering
Obtain f(t) for the signal shown in Fig. 5. Also determine Laplace transform of f(t).,Applying
Index 69 division by compound indexing method.,Applying
Write short note on Autofrettage of Monoblock Pressure vessels.,Remembering
Demonstrate the principle of Spot Welding process in brief.,Remembering
Derive the continuity equation with usual notations for three dimensional flow.,Analysing
Write a Python program to append a new item to the end of the array.,Applying
Which are the different instruction cycle states of a processor?,Remembering
List out the properties of continuous time Fourier Series.,Understanding
Enlist continuous control modes used in process control system and explain PI and PD control modes with suitable example.,Understanding
"In a pack of cards, 2cards are drawn simultaneously. What is the probability of getting a Queen and Jack combination.",Applying
Find inverse of matrix using Gauss Jordan method.,Applying
Explain the term dimensional homogeneous equation?,Remembering
Explain the meaning of static and dynamic memories. State their applications.,Remembering
Explain RTC DS1306 interfacing with PIC18FXX microcontroller.,Analysing
A steel rod 5m long and 40mm diameter is used as a column.,Applying
Discuss in detail fragmentation in terms of IPv4.,Analysing
Write an explanatory note on Bucket Elevators.,Analysing
Explain the working of full wave precision rectifier with neat diagrams.,Understanding
State  the working principle and applications of total station?,Remembering
Explain chain drive with its different types.,Remembering
Explain composite masonry.,Understanding
With suitable diagram explain hydraulic method of level measurement.,Understanding
Describe PMTS with suitable illustration.,Remembering
Elaborate the impact of usage of EV on power grid.,Remembering
Explain class template using multiple parameters.,Analysing
Explain in brief poly urethanes.,Analysing
"Determine using modified Euler's method the value of y at x = 0.1, given",Applying
Describe the operation of timer 555 with suitable block diagram.,Remembering
Explain operation of capture mode of PIC18FXX microcontroller along with diagram.,Analysing
How to perform Analysis of Financial performances.,Analysing
Analyze the beam ABC shown in figure 6 by stiffness method and draw BMD.,Applying
What is difference between starvation and deadlock?,Analysing
What is mountain building process?,Remembering
Explain the relationship between compressive strength and tensile strength of concrete.,Remembering
A single acting reciprocating air compressor has cylinder diameter and stroke of 200 mm and 300 mm respectively.,Applying
Describe in brief elastomer polymerization.,Analysing
Write the steps involved in programming compare mode of CCP1 module in PIC18F458.,Remembering
Determine the transition matrix of state equation 03X( )14xt.,Applying
"With the neat diagram, explain principle of working of thermocouple. Give its examples along with the temperature ranges.",Remembering
Explain the operation of a three phase induction motor drive for an EV with the help of a block diagram.,Remembering
Illustrate use of methods in PrintStream Class to implement Student Information system.,Applying
What are the Switching regulator topologies?,Remembering
Describe the constructional details and operation of the capacitor start capacitor run induction motor with the help of diagrams.,Remembering
A steel bar 3.,Applying
What is the need of IPv6?,Remembering
Draw an interfacing diagram and write program for speed control of a stepper motor using 8051.,Applying
Compare paramagnetic and ferromagnetic material.,Analysing
Implement 3 bit binary to gray code converter using PLA.,Applying
Define brake and gives general requirements of good braking system.,Remembering
What is PLD?,Remembering
State the necessityof reducing cutting forces in sheet metal works.,Remembering
What are the current trends in computer hardware platforms?,Remembering
What is MOD counter ?,Remembering
Calculate the thickness of flanged torispherical head for a vessel having internal diameter 6000mm.,Remembering
Define welding.,Remembering
Explain the working principle of practical differentiator circuit with neat circuit diagram and derivation of output equation.,Understanding
Write a note on applications of remote sensing.,Remembering
A lubricating oil of viscosity of 10 poise and specific gravity 0.,Applying
A trapezoidal channel has side slopes 1 to 1.,Applying
Construct the backward difference table for the following data.,Applying
Explain process of perlite formation from austenite?,Remembering
Write the requirements of root.,Remembering
What is meant by reactance voltage in ease of commutation in DC machine?,Remembering
What is fractal?,Remembering
What are the different algorithms and techniques used in managing cache memory.,Remembering
17,Applying
Define Pressure vessel and give some industrial examples where these are used commonly.,Remembering
What are the properties of a typical cancer cell?,Remembering
What is the concept of function pointers?,Remembering
Explain any two types of Starters used for 3 phase Induction Motor.,Remembering
Define fault and explain the significance of fault in Civil Engineering.,Understanding
What are the various types of manometers?,Remembering
What is a peptide bond?,Remembering
What is mean by programming in the large?,Remembering
Derive the condition for maximum starting torque for three phase induction motor.,Analysing
Enlist the safety precautions you will take on construction site.,Remembering
What is spur gear?,Remembering
What is a register in CPU?,Remembering
Explain Boundary fill algorithm for polygon.,Understanding
Write short notes on Johnson counter.,Remembering
What is segment?,Remembering
Draw & explain TCON register.,Remembering
Two straights PI and QI meet at chainage of 3450 m.,Applying
Explain the feedback compensator with example.,Remembering
E.,Remembering
Explain Frame Representation with its merits and demerits.,Remembering
Explain with neat sketch pressure thermoforming.,Remembering
What are different methods of speed control for three phase induction motor.,Understanding
What is time constant? State time constant in case of Series R-L circuit and series R-C circuit.,Remembering
With the help of a block diagram explain the concept of SMPS.,Remembering
Discuss the Causes of Gear Tooth Failure.,Remembering
Draw neat diagram of three input averaging amplifier and derive the equation for output voltage.,Applying
What is meant by transposition of conductors in an overhead line?,Remembering
What are the various types of mixers used for paste and plastic materials?,Remembering
What are the applications of Stack.,Understanding
Write a short note on motion specification method based on.,Remembering
"Explain Proportional mode, Integral Mode and Derivative Mode.",Remembering
Explain and compare point source and diffuse illumination.,Analysing
Derive the expression for setting out of curve by offset from long chord method.,Analysing
State and explain the properties of CDF.,Applying
Explain adjustable voltage regulator using LM317.,Remembering
Which are various functional units of microprocessors?,Remembering
Determine the optimum proportions of a cylindrical vessel with flat top and 60º conical bottoms.,Analysing
Explain different types of hazards that occur in a pipeline.,Remembering
Explain the factors affecting rate of E1 and E2 reactions.,Analysing
All external walls are of 230 mm thick.,Applying
A T section with 200 mm X 50 mm and web 200 mm X 50 mm as shown in figure 1 is subjected to vertical shear force of 200 KN.,Applying
Distinguish between hot and cold foil stamping.,Analysing
"Explain with sketches, wind and stack effect.",Analysing
Draw and explain circuit of an IGBT.,Analysing
Explain STEP with scope and Architecture.,Remembering
Write a note on the dam located on folded geological structure.,Remembering
Differentiate between open mould and closed mould process.,Analysing
Write an algorithm to convert infix expression to postfix expression and convert following infix expression to postfix expression.,Remembering
What is register renaming?,Remembering
Show that the analytic function f (z) with constant modulus is constant.,Analysing
Elaborate Compaction factor test.,Understanding
Differentiate between hard and soft magnetic material.,Analysing
Draw the block diagram of IC PCL 565 and explain in detail.,Remembering
Discuss briefly different methods of speed control of three phase induction motors with neat diagrams.,Remembering
Define deadlock. Explain the methods for deadlock prevention.,Remembering
The standard deviation and arithmetic mean of the distribution are 4.,Applying
Explain a ‘C’ function to Insert a number in doubly linked list.,Applying
Explain the factor of safety with respect to shear strength.,Understanding
Explain with example trie tree.,Remembering
Calculate the first four central moments for the following frequencies.,Applying
Define the following terms.,Remembering
Explain need of digital communication.,Remembering
What is cushioning of air cylinder.,Understanding
Explain different levels of protection?,Analysing
What is a stepper motors?,Remembering
Explain any four design concepts with appropriate example.,Remembering
What is parametric modeling?,Remembering
How the Queue ADT is implemented using a Python list.,Remembering
What are the rules for overloading operators?,Remembering
Write a short note on checking verticality of tall building.,Understanding
Write an algorithm to evaluate postfix expression.,Remembering
Give composition and properties of any three bearing materials.,Remembering
Explain phases in Verification and Validation model with suitable diagram.,Remembering
What do you mean by concrete mix design?,Remembering
Explain FPGA architecture.,Understanding
A HPF section is constructed from two capacitors 1 microfarad each and 15 milli henery find cutoff frequency and design Resistance.,Analysing
Explain COCOMO Model for project estimation with suitable example.,Analysing
Explain AM and FM Screening with diagrams.,Remembering
What is the cost of the MST?,Remembering
Define Time Study and explain different steps of Time study.,Analysing
Explain three way handshake algorithm for TCP connection establishment.,Remembering
Explain with suitable example Update Anomalies.,Remembering
Carry out ABC analysis for the following items and plot ABC curve.,Analysing
Find the Laplace transform of given network given f (t).,Applying
What is destructor?,Remembering
How many automobile license plates can be made if each plate contains two different letters followed by three different digits.,Applying
A steel column of 4m long and of 100mm diameter is fixed at one end and free at other end.,Evaluating
Explain with a neat sketch screw conveyor.,Analysing
The following results refer to a test on a petrol engine.,Applying
What are the basic performance issues in pipelining.,Remembering
Explain with the help of neat sketch,Applying
"A symmetric I section of flanges 120 mm × 20 mm and web of thickness 20 mm and 100 mm depth, carrying uniformly distributed load ofmagnitude 80 kN/m over 4 m span. Calculate the maximum bendingcompressive stress.",Applying
What is a design pattern?,Remembering
Define dryness fraction.,Remembering
Explain the function of the following component in HPP :,Remembering
Explain sensitization of stainless steel?,Remembering
