question,level
Explain optical dot gain and factors responsible for the same.,Knowledge
Find Euler Totient Function of the following numbers.,Application
Explain the properties of instantaneous centre of rotation.,Analysis
"State and explain the sampling theorem in detail when fs > 2fm, fs = 2fm, fs = 2fm.",Knowledge
What is modeling of DC motor?,Knowledge
The length of various links of mechanism as shown in fig.,Application
With the help of a neat diagram explain the operation of an adjustable voltage regulator using IC LM 317.,Application
Explain in brief the effect of wet adhesives on paper and board.,Knowledge
Derive expression for Pitot tube and explain the working principle.,Knowledge
Draw block diagram of NVIDIA workstation and explain it in brief.,Application
Weights of 4000 students are found to be normally distributed with mean 50 kg and standard deviation 5 kgs.,Application
What is semaphore?,Knowledge
Define the following terms.,Application
Which are the manufacturing techniques used for processing of rubbers?,Knowledge
Obtain regression lines for the following data.,Analysis
What is mean by creeping in an energy meter and how is it prevented?,Knowledge
What do you mean by calandering of elastomers?,Knowledge
Find the Laplace Transform of following using the properties.,Application
Explain the concept of Tristate logic.,Knowledge
How to calculate simple and compound interest?,Knowledge
Attempt any one:,Application
Explain 3 position relative pole method for synthesis of four bar chain mechanism.,Knowledge
Describe working of monostable multivibrator with necessary diagrams and derivations.,Comprehension
"A string stretched and fastened between two points L a part. Motion is started by displacing the string in the form y = a sin Lx from which it is released at time t = 0. Find the displacement ,.yxt",Application
Enlist the transducers used for low pressure measurement Elaborate each transducer enlisted with neat sketch.,Knowledge
What are the programming paradigms?,Knowledge
Explain RTD with its principle of working. Explain three wire lead arrangement of RTD.,Knowledge
List and explain various features of virtual 8086 Mode.,Knowledge
What are the functions of arches and lintels?,Comprehension
Explain Concept of File?,Comprehension
Draw and explain frequency response of low pass filter.,Knowledge
What is Haptics Rendering Pipeline Modeling in Virtual Reality.,Knowledge
The forward path transfer function of a unity feedback control system is.,Application
Explain the principal of rebound hammer with neat sketch.,Comprehension
Explain in brief mechanisms of pyrolysis and cracking.,Analysis
Write short note on tool steel?,Knowledge
Write short note on classifications and different types of antifriction bearings.,Knowledge
Explain any two types of resistive transducers.,Comprehension
What are the limitations of nanomaterials?,Knowledge
Describe head type flow measurement transducers.,Knowledge
Discuss diamond problem in detail?,Analysis
Explain voltage Divider using multiplier 534.,Knowledge
List and elaborate on different applications of microcontrollers.,Knowledge
Explain three way handshake algorithm for TCP connection establishment.,Analysis
Draw and explain magnetization curve for a ferromagnetic material and hence define with uints,Knowledge
One percent of articles from a certain machine are defective.,Application
Enlist any four types of floor finishes and explain mosaic flooring.,Application
Define formative number of teeth for Helical gear and express the formula with terms.,Knowledge
A kite has plan area of 0.,Application
Draw & explain the working principle of resistive type humidity sensor measurement technique. Compare with capacitive type of humiditymeasurement technique.,Knowledge
Explain the concept of iterators in the STL.,Analysis
Enlist and draw different types of polygon?,Knowledge
Define register.,Knowledge
Evaluate F.,Analysis
Explain with sketch squeeze casting process.,Analysis
Write a note on SRAM.,Knowledge
Explain cavitation and NPSH in pump.,Knowledge
What do you mean by Industrial Automation? What are its types? Explain the architecture of an automation.,Knowledge
Explain electronic energy meter with a neat diagram.,Knowledge
Describe with the help of neat sketches of wave forms methods of generation of PWM.,Comprehension
Compare with a neat sketch pressure forming process over vacuum forming process.,Analysis
If 1ˆ ˆˆ F yzi z x j x yk   and   222 2ˆ ˆˆ F x yz i y zx j z xy k   then show that 12FF is solenoidal.,Analysis
What are the characteristics of Destructor?,Knowledge
Explain namespace in C++ with example?,Knowledge
What is modulus of counter?,Knowledge
